segundo,carros_no_frame,estado_semaforo
2,5,red
2,5,red
3,6,red
3,6,red
3,7,red
4,6,red
4,6,red
4,6,red
5,6,red
5,5,red
6,5,red
6,6,red
6,6,red
7,8,red
7,8,red
7,7,red
8,7,red
8,8,red
9,5,red
9,5,red
9,7,red
10,7,red
10,5,red
10,7,red
11,5,red
11,7,red
11,7,red
12,6,red
12,6,red
13,6,red
13,6,red
13,6,red
14,6,red
14,6,red
14,6,red
15,5,red
15,4,red
16,7,red
16,6,red
16,6,red
17,6,red
17,7,red
17,5,red
18,6,red
18,6,red
19,6,red
19,5,red
19,6,red
20,6,red
20,6,red
20,6,red
21,6,red
21,5,red
22,5,red
22,5,red
22,5,red
23,6,red
23,6,red
23,6,red
24,5,red
24,7,red
25,6,red
25,6,red
25,6,red
26,6,red
26,6,red
26,6,red
27,6,red
27,6,red
28,5,red
28,6,red
28,6,red
29,6,red
29,6,red
30,6,red
30,6,red
30,6,red
31,5,red
31,5,red
31,6,red
32,6,red
32,6,red
33,6,red
33,6,red
33,6,red
34,6,red
34,6,red
35,6,red
35,6,red
35,6,red
36,6,red
36,5,red
36,6,red
37,6,red
37,6,red
38,6,red
38,6,red
38,6,red
39,6,red
39,6,red
40,6,red
40,6,red
40,6,red
41,6,red
41,6,red
41,6,red
42,6,red
42,6,red
43,6,red
43,6,red
43,6,red
44,6,red
44,6,red
45,6,red
45,6,red
45,6,red
46,6,red
46,5,red
47,4,red
47,4,red
47,4,red
48,4,red
48,5,red
49,6,red
49,6,red
49,5,red
50,4,red
50,4,red
50,5,red
51,5,red
51,4,red
52,5,red
52,5,red
52,4,red
53,4,red
53,4,red
54,4,red
54,4,red
54,4,red
55,4,red
55,4,red
56,4,red
56,5,red
56,5,red
57,5,red
57,5,red
57,5,red
58,5,green
58,5,green
59,5,green
59,5,green
59,5,green
60,5,green
60,5,green
61,5,green
61,5,green
61,5,green
62,5,green
62,5,green
63,5,green
63,5,green
63,5,green
64,5,green
64,5,green
64,5,green
65,5,green
65,5,green
66,5,green
66,5,green
66,5,green
67,5,green
67,5,green
68,5,green
68,5,green
68,5,green
69,5,green
69,5,green
70,5,green
70,5,green
70,5,green
71,5,green
71,5,green
72,4,green
72,4,green
72,4,green
73,4,green
73,4,green
74,4,green
74,4,green
74,4,green
75,4,green
75,4,green
76,4,green
76,4,green
76,4,green
77,4,green
77,4,green
77,4,green
78,4,green
78,4,green
79,4,green
79,4,green
79,4,green
80,4,green
80,4,green
81,4,green
81,4,green
81,4,green
82,4,green
82,4,green
83,4,green
83,4,green
83,4,green
84,4,green
84,4,green
85,4,green
85,4,green
85,5,green
86,5,green
86,5,green
87,4,green
87,5,green
87,6,green
88,5,green
88,5,green
89,4,green
89,7,green
89,4,green
90,5,green
90,5,green
91,3,green
91,3,green
91,3,green
92,5,green
92,5,green
92,5,green
93,4,green
93,4,green
94,3,green
94,2,green
94,3,green
95,2,green
95,3,green
96,4,green
96,3,green
96,4,green
97,5,green
97,4,green
98,2,green
98,4,green
99,4,green
99,5,green
99,5,green
100,5,green
100,5,green
101,5,green
101,5,green
101,6,green
102,5,green
102,5,green
103,6,green
103,6,green
103,6,green
104,6,green
104,6,green
105,7,green
105,8,green
105,9,green
106,9,green
106,9,green
107,8,green
107,9,green
107,8,green
108,9,green
108,9,green
109,9,green
109,8,green
109,10,green
110,9,green
110,11,green
111,11,green
111,11,green
111,11,green
112,10,green
112,10,green
113,10,green
113,10,green
113,10,green
114,10,green
114,9,green
115,10,green
115,8,green
115,9,green
116,8,green
116,9,green
117,8,green
117,8,green
117,8,green
118,8,green
118,10,green
119,10,green
119,10,green
119,9,green
120,8,green
120,9,green
121,10,green
121,10,green
121,10,green
122,9,green
122,9,green
123,9,green
123,9,green
124,9,green
124,9,green
124,9,green
125,9,green
125,9,green
126,9,green
126,9,green
126,9,green
127,9,green
127,9,green
128,9,green
128,9,green
128,9,green
129,9,green
129,9,green
130,9,green
130,9,green
130,9,green
131,9,green
131,9,green
132,11,green
132,10,green
132,10,green
133,11,green
133,12,green
134,11,green
134,13,green
134,13,green
135,13,green
135,13,green
136,13,green
136,14,green
137,12,green
137,12,green
137,10,green
138,12,green
138,11,green
139,11,green
139,12,green
139,11,green
140,12,green
140,10,green
141,13,green
141,12,green
141,13,green
142,13,green
142,12,green
143,12,green
143,15,green
143,12,green
144,14,green
144,14,green
145,15,green
145,15,green
145,18,green
146,17,green
146,20,green
147,20,green
147,21,green
147,22,green
148,21,green
148,20,green
149,21,green
149,18,green
150,17,green
150,18,green
150,20,green
151,19,green
151,19,green
152,19,green
152,19,green
153,17,green
153,16,green
154,19,green
154,20,green
155,23,green
155,20,green
156,20,green
156,19,green
156,19,green
157,21,green
157,20,green
158,20,green
158,21,green
159,20,green
159,19,green
160,21,green
160,18,green
161,17,green
161,17,green
162,19,green
162,17,green
163,20,green
163,18,green
164,19,green
164,17,green
165,18,green
165,17,green
166,17,green
166,20,green
167,20,green
167,19,green
168,22,green
168,21,green
169,21,green
169,19,green
170,20,green
170,20,green
170,19,green
171,21,green
171,22,green
172,19,green
172,20,green
173,19,green
173,18,green
174,20,green
174,18,green
175,19,green
175,20,green
176,21,green
176,22,green
177,22,green
177,22,green
178,21,green
178,22,green
179,21,green
179,21,green
180,19,green
180,21,green
181,19,green
181,18,green
181,17,green
182,19,green
182,21,green
183,20,green
183,21,green
184,19,green
184,21,green
185,21,green
185,21,green
186,24,green
186,23,green
187,20,green
187,20,green
188,21,green
188,18,green
189,20,green
189,21,green
189,20,green
190,20,green
190,19,green
191,20,green
191,21,green
192,19,green
192,22,green
193,23,green
193,24,green
194,23,green
194,19,green
195,22,green
195,23,green
196,21,green
196,24,green
197,23,green
197,24,green
197,22,green
198,23,green
198,23,green
199,21,green
199,22,green
200,20,green
200,19,green
201,22,green
201,20,green
202,24,green
202,22,green
203,21,green
203,20,green
204,21,green
204,19,green
205,19,green
205,19,green
205,20,green
206,19,green
206,20,green
207,19,green
207,19,green
208,19,green
208,18,green
209,19,green
209,18,green
210,17,green
210,18,green
211,18,green
211,20,green
212,21,green
212,20,green
213,20,green
213,18,green
214,21,green
214,22,green
215,20,green
215,19,green
216,20,green
216,20,green
217,20,green
217,20,green
217,20,green
218,19,green
218,18,green
219,19,green
219,19,green
220,19,green
220,22,green
221,22,green
221,22,green
222,21,green
222,21,green
223,20,green
223,21,green
224,22,green
224,21,green
225,22,green
225,22,green
226,26,green
226,24,green
227,24,green
227,22,green
228,23,green
228,23,green
229,22,green
229,20,green
230,22,green
230,23,green
230,23,green
231,22,green
231,22,green
232,21,green
232,22,green
233,23,green
233,24,green
234,23,green
234,25,green
235,22,green
235,24,green
236,24,green
236,23,green
237,23,green
237,24,green
238,25,green
238,24,green
239,23,green
239,23,green
240,24,green
240,24,green
240,23,green
241,26,green
241,24,green
242,26,green
242,24,green
243,26,green
243,25,green
244,24,green
244,24,green
245,25,green
245,23,green
246,22,green
246,22,green
247,20,green
247,21,green
248,23,green
248,21,green
249,23,green
249,25,green
250,24,green
250,23,green
250,23,green
251,24,green
251,24,green
252,23,green
252,23,green
253,21,green
253,23,green
254,21,green
254,27,green
255,24,green
255,23,green
256,26,green
256,20,green
257,23,green
257,24,green
258,22,green
258,24,green
259,23,green
259,23,green
260,24,green
260,26,green
261,24,green
261,23,green
262,27,green
262,24,green
263,24,green
263,25,green
264,26,green
264,25,green
265,27,green
265,25,green
266,26,green
266,25,green
266,24,green
267,24,green
267,22,green
268,25,green
268,21,green
269,25,green
269,25,green
270,27,green
270,26,green
271,27,green
271,26,green
272,27,green
272,23,green
273,22,green
273,21,green
274,21,green
274,25,green
275,27,green
275,26,green
276,26,green
276,25,green
276,22,green
277,21,green
277,23,green
278,22,green
278,20,green
279,22,green
279,22,green
280,23,green
280,23,green
281,18,green
281,22,green
282,19,green
282,22,green
283,22,green
283,24,green
284,22,green
284,22,green
285,23,green
285,24,green
286,23,green
286,21,green
287,23,green
287,25,green
288,22,green
288,21,green
289,21,green
289,19,green
290,20,green
290,19,green
291,18,green
291,19,green
291,18,green
292,20,green
292,20,green
293,17,green
293,16,green
294,20,green
294,20,green
295,19,green
295,20,green
296,20,green
296,20,green
297,21,green
297,21,green
298,23,green
298,22,green
299,19,green
299,20,green
300,20,green
300,19,green
300,18,green
301,19,green
301,17,green
302,20,green
302,20,green
303,19,green
303,19,green
304,20,green
304,18,green
305,20,green
305,21,green
306,20,green
306,20,green
307,22,green
307,24,green
308,22,green
308,21,green
309,20,green
309,21,green
309,20,green
310,20,green
310,19,green
311,19,green
311,20,green
312,20,green
312,20,green
313,22,green
313,20,green
314,21,green
314,22,green
315,20,green
315,21,green
316,20,green
316,21,green
317,21,green
317,22,green
318,20,green
318,22,green
319,20,green
319,21,green
320,19,green
320,20,green
321,17,green
321,20,green
322,20,green
322,19,green
323,21,green
323,20,green
324,22,green
324,21,green
324,22,green
325,21,green
325,21,green
326,20,green
326,20,green
327,20,green
327,20,green
328,18,green
328,21,green
329,21,green
329,20,green
330,21,green
330,20,green
331,22,green
331,20,green
332,20,green
332,17,green
333,18,green
333,22,green
333,22,green
334,20,green
334,19,green
335,20,green
335,22,green
336,22,green
336,23,green
337,23,green
337,19,green
338,22,green
338,20,green
339,20,green
339,22,green
340,22,green
340,22,green
341,23,green
341,24,green
342,23,green
342,23,green
342,23,green
343,21,green
343,19,green
344,18,green
344,20,green
345,17,green
345,19,green
346,18,green
346,21,green
347,18,green
347,21,green
348,18,green
348,19,green
349,20,green
349,20,green
350,21,green
350,20,green
351,21,green
351,19,green
352,20,green
352,21,green
353,18,green
353,20,green
353,20,green
354,21,green
354,22,green
355,23,green
355,23,green
356,21,green
356,23,green
357,21,green
357,22,green
358,20,green
358,21,green
359,21,green
359,25,green
360,23,green
360,20,green
361,23,green
361,23,green
362,24,green
362,22,green
363,22,green
363,21,green
364,21,green
364,21,green
365,20,green
365,23,green
366,23,green
366,20,green
367,23,green
367,21,green
368,21,green
368,19,green
368,20,green
369,21,green
369,22,green
370,21,green
370,24,green
371,21,green
371,20,green
372,23,green
372,23,green
373,23,green
373,22,green
374,21,green
374,21,green
375,22,green
375,21,green
376,21,green
376,19,green
377,22,green
377,21,green
378,21,green
378,21,green
379,24,green
379,23,green
380,21,green
380,20,green
381,20,green
381,21,green
382,21,green
382,20,green
383,19,green
383,21,green
384,19,green
384,21,green
385,18,green
385,20,green
386,21,green
386,22,green
387,21,green
387,21,green
387,21,green
388,22,green
388,24,green
389,24,green
389,24,green
390,22,green
390,23,green
391,23,green
392,23,green
392,22,green
393,21,green
393,18,green
394,21,green
395,22,green
395,19,green
396,21,green
396,21,green
397,21,green
397,21,green
398,20,green
398,20,green
399,20,green
400,20,green
400,21,green
401,23,green
402,22,green
402,22,green
403,20,green
403,22,green
404,24,green
405,21,green
405,23,green
406,24,green
406,25,green
407,25,green
408,24,green
408,26,green
409,25,green
410,24,green
410,25,green
411,26,green
411,26,green
412,25,green
413,24,green
413,27,green
414,25,green
414,24,green
415,26,green
416,25,green
416,26,green
417,27,green
417,24,green
418,25,green
419,26,green
419,26,green
420,25,green
421,25,green
421,26,green
422,26,green
422,26,green
423,24,green
424,26,green
424,26,green
425,26,green
425,24,green
426,23,green
427,24,green
427,21,green
428,21,green
428,23,green
429,22,green
429,23,green
430,23,green
431,22,green
431,21,green
432,22,green
432,22,green
433,22,green
434,22,green
434,22,green
435,19,green
435,19,green
436,23,green
437,21,green
437,23,green
438,23,green
438,21,green
439,23,green
440,22,green
440,22,green
441,21,green
441,20,green
442,20,green
443,18,green
443,17,green
444,19,green
444,19,green
445,18,green
445,18,green
446,18,green
447,19,green
447,19,green
448,18,green
448,19,green
449,20,green
449,19,green
450,19,green
451,20,green
451,21,green
452,20,green
452,20,green
453,18,green
454,21,green
454,22,green
455,20,green
455,20,green
456,21,green
457,20,green
457,19,green
458,17,green
458,18,green
459,19,green
460,20,green
460,20,green
461,22,green
461,21,green
462,21,green
462,21,green
463,21,green
464,22,green
464,21,green
465,21,green
465,21,green
466,20,green
467,18,green
467,18,green
468,21,green
468,20,green
469,20,green
470,20,green
470,20,green
471,18,green
471,17,green
472,18,green
473,18,green
473,19,green
474,19,green
474,19,green
475,20,green
476,19,green
476,19,green
477,20,green
477,19,green
478,19,green
478,18,green
479,21,green
480,18,green
480,16,green
481,16,green
482,18,green
482,19,green
483,19,green
484,21,green
484,19,green
485,19,green
486,21,green
486,18,green
487,19,green
488,20,green
488,21,green
489,21,green
489,19,green
490,20,green
491,21,green
491,18,green
492,21,green
492,20,green
493,21,green
494,19,green
494,18,green
495,17,green
495,18,green
496,18,green
496,19,green
497,18,green
497,18,green
498,19,green
498,17,green
499,19,green
500,19,green
500,20,green
501,20,green
501,20,green
502,21,green
502,20,green
503,19,green
503,20,green
504,18,green
504,18,green
505,21,green
505,19,green
506,21,green
506,18,green
507,17,green
507,19,green
508,20,green
508,19,green
509,18,green
509,19,green
510,20,green
511,20,green
511,21,green
512,20,green
512,22,green
513,19,green
513,19,green
514,19,green
514,20,green
515,19,green
515,16,green
516,17,green
516,17,green
517,18,green
517,19,green
518,17,green
518,19,green
519,19,green
519,20,green
520,19,green
520,20,green
521,18,green
521,18,green
522,18,green
522,17,green
523,17,green
524,17,green
524,16,green
525,17,green
525,18,green
526,16,green
526,16,green
527,17,green
527,15,green
528,17,green
528,16,green
529,18,green
529,18,green
530,16,green
530,16,green
531,17,green
531,17,green
532,18,green
532,17,green
533,17,green
533,18,green
534,19,green
534,20,green
535,20,green
536,18,green
536,21,green
537,20,green
537,19,green
538,21,green
538,20,green
539,19,green
539,19,green
540,19,green
540,19,green
541,21,green
541,19,green
542,18,green
542,19,green
543,18,green
543,17,green
544,15,green
544,15,green
545,16,green
545,17,green
546,17,green
546,17,green
547,18,green
547,16,green
548,16,green
548,18,green
549,19,green
549,19,green
550,19,green
550,15,green
551,18,green
552,17,green
552,15,green
553,17,green
553,18,green
554,17,green
554,16,green
555,17,green
555,15,green
556,16,green
556,17,green
557,16,green
557,17,green
558,16,green
558,16,green
559,16,green
559,16,green
560,15,green
560,17,green
561,16,green
561,17,green
562,17,green
562,18,green
563,17,green
563,16,green
564,16,green
564,16,green
565,15,green
565,16,green
566,17,green
566,16,green
567,20,green
567,19,green
568,17,green
568,19,green
569,18,green
569,19,green
570,21,green
570,20,green
571,20,green
571,17,green
572,16,green
572,17,green
573,18,green
573,18,green
574,19,green
574,18,green
575,20,green
575,19,green
576,20,green
576,16,green
576,17,green
577,18,green
577,19,green
578,16,green
578,19,green
579,16,green
579,17,green
580,19,green
580,17,green
581,18,green
581,20,green
582,19,green
582,19,green
583,19,green
583,21,green
584,21,green
584,19,green
585,19,green
585,17,green
586,17,green
586,19,green
587,19,green
587,18,green
587,18,green
588,18,green
588,18,green
589,16,green
589,16,green
590,18,green
590,17,green
591,15,green
591,14,green
592,15,green
592,16,green
593,15,green
593,15,green
594,16,green
594,17,green
595,17,green
595,15,green
596,18,green
596,19,green
596,18,green
597,16,green
597,17,green
598,17,green
598,16,green
599,18,green
599,16,green
600,17,green
600,16,green
601,16,green
601,15,green
602,16,green
602,16,green
603,16,green
603,17,green
604,17,green
604,17,green
604,17,green
605,17,green
605,17,green
606,17,green
606,18,green
607,17,green
607,18,green
608,19,green
608,15,green
609,15,green
609,17,green
610,17,green
610,18,green
611,18,green
611,18,green
612,18,green
612,17,green
612,17,green
613,19,green
613,18,green
614,18,green
614,17,green
615,19,green
615,19,green
616,19,green
616,19,green
617,17,green
617,18,green
618,18,green
618,20,green
619,20,green
619,17,green
620,17,green
620,15,green
621,16,green
621,17,green
622,16,green
622,16,green
622,17,green
623,16,green
623,16,green
624,17,green
624,17,green
625,16,green
625,14,green
626,15,green
626,15,green
627,16,green
627,17,green
628,18,green
628,18,green
629,17,green
629,19,green
630,17,green
630,17,green
630,16,green
631,17,green
631,16,green
632,17,green
632,17,green
633,16,green
633,18,green
634,16,green
634,17,green
635,16,green
635,16,green
636,15,green
636,15,green
637,15,green
637,16,green
638,16,green
638,16,green
639,15,green
639,14,green
639,16,green
640,16,green
640,15,green
641,16,green
641,16,green
642,16,green
642,16,green
643,15,green
643,15,green
644,15,green
644,13,green
645,14,green
645,15,green
646,16,green
646,18,green
647,17,green
647,18,green
648,18,green
648,16,green
649,18,green
649,16,green
650,18,green
650,17,green
650,18,green
651,18,green
651,18,green
652,17,green
652,17,green
653,15,green
653,17,green
654,18,green
654,18,green
655,17,green
655,18,green
656,18,green
656,19,green
657,17,green
657,19,green
658,18,green
658,19,green
659,19,green
659,18,green
659,18,green
660,19,green
660,18,green
661,18,green
661,16,green
662,19,green
662,18,green
663,18,green
663,19,green
664,17,green
664,18,green
665,21,green
665,20,green
666,19,green
666,18,green
667,19,green
667,18,green
668,18,green
668,17,green
668,18,green
669,16,green
669,16,green
670,17,green
670,18,green
671,19,green
671,17,green
672,18,green
672,19,green
673,18,green
673,18,green
674,18,green
674,18,green
675,19,green
675,18,green
676,17,green
676,19,green
677,18,green
677,18,green
677,19,green
678,20,green
678,22,green
679,21,green
679,19,green
680,18,green
680,20,green
681,19,green
681,20,green
682,20,green
682,19,green
683,20,green
683,19,green
684,19,green
684,19,green
685,16,green
685,19,green
685,19,green
686,17,green
686,19,green
687,18,green
687,15,green
688,15,green
688,16,green
689,17,green
689,17,green
690,16,green
690,16,green
691,17,green
691,16,green
692,15,green
692,16,green
693,17,green
693,16,green
694,16,green
694,20,green
694,18,green
695,17,green
695,18,green
696,18,green
696,16,green
697,17,green
697,18,green
698,16,green
698,16,green
699,16,green
699,15,green
700,14,green
700,15,green
701,16,green
701,16,green
702,18,green
702,16,green
702,16,green
703,17,green
703,17,green
704,18,green
704,18,green
705,17,green
705,17,green
706,18,green
706,17,green
707,18,green
707,18,green
708,18,green
708,19,green
709,18,green
709,18,green
710,18,green
710,16,green
711,18,green
711,19,green
712,18,green
712,19,green
712,19,green
713,17,green
713,15,green
714,15,green
714,14,green
715,14,green
715,14,green
716,13,green
716,13,green
717,13,green
717,12,green
718,12,green
718,11,green
719,14,green
719,15,green
719,15,green
720,17,green
720,15,green
721,17,green
721,17,green
722,15,green
722,15,green
723,15,green
723,15,green
724,14,green
724,16,green
725,14,green
725,12,green
726,14,green
726,13,green
727,12,green
727,14,green
727,13,green
728,15,green
728,17,green
729,17,green
729,15,green
730,14,green
730,14,green
731,16,green
731,17,green
